,ncessch,bias_own_ses_hs,med_family_income,rent_pctage_household_income,num_white,num_black,num_native,num_asian,num_hispanic,num_ell,commute_total,commute_less_than_10_min,commute_10to14min,commute_15to19min,commute_20to24min,commute_25to29min,commute_30to34min,commute_35to44min,commute_45to59min,commute_60_more_min,poverty_status_total,poverty_status_income_below_poverty_lvl,poverty_status_fam_households,poverty_status_married_fam,poverty_status_other_fam,snap_total,snap_with_cash_public_assist,snap_no_cash_public_assist,poverty_inc_ratio_total,poverty_inc_ratio_under.5,poverty_inc_ratio_.50to.99,poverty_inc_ratio_1.00to1.24,poverty_inc_ratio_1.25to1.49,poverty_inc_ratio_1.50to1.84,poverty_inc_ratio_1.85to1.99,poverty_inc_ratio_2.00over,pct_commute_less_than_29,pct_commute_greater_than_30,pct_snap_no_cash_public_assist,pct_snap_with_cash_public_assist,pct_poverty_inc_ratio_185_under,nces_id,ap_courses,honors_classes,gs_equity_rating,gs_overall_rating,gs_test_rating,gs_progress_rating,high_school,clustering_hs,volunteering_rate_hs,pct_married_couple_families,pct_single_parent_families,pct_english_lang,pct_non_english_lang,pct_homeowners,pct_non_homeowners,pct_less_than_hs_edu,pct_hs_degree,pct_associates_degree,pct_bachelors_degree,pct_post_grad_higher_degree
10,010039000165,-0.023800001,,,0.33238797504254114,2.1525808281338628,0.030062393647192286,0.055587067498581964,0.3647192285876347,0.39381153305203936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010039000165,6.0,0.0,1.0,1.0,,,010039000165,0.42374,0.02706,,,,,,,,,,,
11,010039000192,-0.12857001,,,0.26129032258064516,4.678494623655914,0.026881720430107527,0.04408602150537634,0.2075268817204301,0.38636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010039000192,6.0,0.0,1.0,1.0,,,010039000192,0.40228,0.02012,,,,,,,,,,,
12,010039000198,-0.00072000001,,,0.9372641509433962,2.6806603773584907,0.027358490566037737,0.027358490566037737,0.2952830188679245,0.2959917780061665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010039000198,,,1.0,1.0,,,010039000198,0.40676001,0.017969999,,,,,,,,,,,
13,010060000263,-0.1489,,,1.0232558139534884,0.8984088127294981,0.0036719706242350062,0.0073439412484700125,0.05385556915544676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010060000263,,,2.0,1.0,,,010060000263,0.64945,0.0113,,,,,,,,,,,
14,010060000271,-0.04301,,,3.488372093023256,2.006644518272425,0.013289036544850499,0.03986710963455149,0.3106312292358804,0.0049833887043189366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010060000271,,,2.0,2.0,,,010060000271,0.41813999,0.029890001,,,,,,,,,,,
15,010069000291,-0.066979997,,,1.280943025540275,1.3968565815324165,0.01768172888015717,0.007858546168958742,0.04911591355599214,0.029469548133595286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010069000291,,,2.0,3.0,2.0,,010069000291,0.63615,0.01595,,,,,,,,,,,
16,010069000297,-0.033849999,,,2.064327485380117,0.9035087719298246,0.014619883040935672,0.0,0.04093567251461988,0.09064327485380116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010069000297,,,2.0,2.0,2.0,,010069000297,0.56616002,0.01005,,,,,,,,,,,
17,010072000298,-0.024350001,,,1.6064356435643565,1.4183168316831682,0.012376237623762377,0.0024752475247524753,0.039603960396039604,0.09158415841584158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010072000298,,,6.0,4.0,,,010072000298,0.54672003,0.018309999,,,,,,,,,,,
18,010072001493,0.069339998,,,1.588785046728972,2.209345794392523,0.024299065420560748,0.03551401869158879,0.06728971962616823,0.059813084112149535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010072001493,7.0,0.0,2.0,3.0,,,010072001493,0.55864,0.0088999998,,,,,,,,,,,
19,010078000318,-0.056559999,,,2.478908188585608,0.10669975186104218,0.01488833746898263,0.0,0.10297766749379653,0.184863523573201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010078000318,,,5.0,6.0,6.0,,010078000318,0.50443,0.047600001,,,,,,,,,,,
20,010078000321,-0.092979997,,,4.727678571428571,0.03125,0.022321428571428572,0.0,0.0625,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010078000321,,,5.0,7.0,6.0,,010078000321,0.58004999,0.0308,,,,,,,,,,,
21,010081000323,-0.074110001,,,2.115702479338843,0.05371900826446281,0.008264462809917356,0.008264462809917356,0.12396694214876033,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010081000323,,,6.0,8.0,8.0,,010081000323,0.73760998,0.03303,,,,,,,,,,,
22,010081000327,-0.13232,,,2.9672131147540983,0.08196721311475409,0.05573770491803279,0.003278688524590164,0.14426229508196722,0.04590163934426229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010081000327,,,5.0,7.0,7.0,,010081000327,0.62405002,0.03599,,,,,,,,,,,
23,010081001494,-0.0583,,,4.762124711316397,0.6004618937644342,0.13163972286374134,0.04157043879907621,1.2655889145496535,0.40415704387990764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010081001494,,,3.0,5.0,5.0,,010081001494,0.56181002,0.027419999,,,,,,,,,,,
24,010102000374,-0.074859999,,,5.099547511312217,0.04072398190045249,0.0,0.004524886877828055,0.11764705882352941,0.004524886877828055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000374,,,2.0,4.0,,,010102000374,0.59448999,0.026070001,,,,,,,,,,,
25,010102000377,-0.11381,,,4.524617996604414,0.015280135823429542,0.028862478777589132,0.03735144312393888,0.567062818336163,0.20363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000377,6.0,0.0,5.0,7.0,,,010102000377,0.46371999,0.02155,,,,,,,,,,,
26,010102000379,-0.088849999,,,4.850129198966409,0.04392764857881137,0.03617571059431524,0.059431524547803614,0.4935400516795866,0.5710594315245479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000379,2.0,0.0,5.0,6.0,,,010102000379,0.49302,0.02052,,,,,,,,,,,
27,010102000380,-0.13067999,,,4.0903846153846155,0.1519230769230769,0.028846153846153848,0.015384615384615385,0.4807692307692308,0.12115384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000380,,,3.0,4.0,,,010102000380,0.49823999,0.026939999,,,,,,,,,,,
28,010102000381,-0.092409998,,,4.764331210191083,0.050955414012738856,0.025477707006369428,0.028662420382165606,0.321656050955414,0.05732484076433121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000381,,,5.0,7.0,,,010102000381,0.54530001,0.022150001,,,,,,,,,,,
29,010102000385,-0.057360001,,,3.590909090909091,0.009569377990430622,0.004784688995215311,0.0215311004784689,0.3397129186602871,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000385,,,5.0,6.0,,,010102000385,0.55717999,0.026550001,,,,,,,,,,,
30,010102000387,-0.063160002,,,5.381852551984877,0.03213610586011342,0.01890359168241966,0.007561436672967864,0.3667296786389414,0.20793950850661624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010102000387,9.0,0.0,7.0,7.0,,,010102000387,0.47525999,0.018510001,,,,,,,,,,,
31,010117000426,0.095080003,,,4.569282136894825,3.343906510851419,0.08180300500834725,0.10851419031719532,3.312186978297162,2.5965811965811967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010117000426,,,3.0,4.0,,,010117000426,0.41292,0.035209998,,,,,,,,,,,
32,010117000429,0.12078,,,2.336050724637681,1.2717391304347827,0.058876811594202896,0.04076086956521739,1.4184782608695652,0.9752973467520586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010117000429,16.0,0.0,5.0,6.0,,,010117000429,0.44894001,0.04456,,,,,,,,,,,
33,010123001501,0.12289,,,3.521781219748306,3.0242013552758955,0.02904162633107454,0.13843175217812198,0.5082284607938045,0.19748305905130686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010123001501,,,1.0,3.0,,,010123001501,0.40388,0.041049998,,,,,,,,,,,
34,010166000570,-0.16893999,,,2.2443064182194616,0.3022774327122153,0.014492753623188406,0.006211180124223602,0.19047619047619047,0.2111801242236025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010166000570,,,3.0,4.0,,,010166000570,0.60355997,0.025490001,,,,,,,,,,,
35,010166000571,-0.077739999,,,1.9824253075571177,0.1687170474516696,0.019332161687170474,0.0035149384885764497,0.2741652021089631,0.08260105448154657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,010166000571,,,2.0,2.0,,,010166000571,0.58086997,0.05085,,,,,,,,,,,
